,RMSE
"(0, 0, 0)",192631.69701386333
"(0, 0, 1)",187462.0119411643
"(0, 0, 2)",182143.14065068105
"(0, 0, 3)",176372.19298484825
"(0, 0, 4)",169570.80243471518
"(0, 0, 5)",160647.49701590824
"(0, 0, 6)",152726.29042104303
"(0, 0, 7)",146125.71463572324
"(0, 1, 0)",96106.69509560715
"(0, 1, 1)",95255.25048472527
"(0, 1, 2)",93848.38134225171
"(0, 1, 3)",91884.33587864092
"(0, 1, 4)",90909.0111214773
"(0, 1, 5)",92928.24644247796
"(0, 1, 6)",96104.66166293045
"(0, 1, 7)",92231.76378991749
"(1, 0, 0)",115770.54750827208
"(1, 0, 1)",113169.17557551671
"(1, 0, 2)",160637.27922251634
"(1, 0, 3)",154287.66945921446
"(1, 0, 4)",150234.0820762473
"(1, 0, 5)",147531.82545161815
"(1, 0, 6)",166130.8136301636
"(1, 0, 7)",160858.4649740928
"(1, 1, 0)",95147.89943967703
"(1, 1, 1)",7314.866629869537
"(1, 1, 2)",6294.193854972101
"(1, 1, 3)",8700.382463453509
"(1, 1, 4)",14444.83310450061
"(1, 1, 5)",27341.006716654796
"(1, 1, 6)",95703.79186575022
"(1, 1, 7)",93545.47002036084
"(2, 0, 0)",21127.655498929358
"(2, 0, 1)",37336.57586614498
"(2, 0, 2)",171705.66419356666
"(2, 0, 3)",165482.61621657878
"(2, 0, 4)",164391.72207996776
"(2, 0, 5)",162397.27518707787
"(2, 0, 6)",160727.83407943053
"(2, 0, 7)",158814.56823114216
"(2, 1, 0)",93409.45736422965
"(2, 1, 1)",2120.122260947988
"(2, 1, 2)",6023.972588346084
"(2, 1, 3)",6258.058602883776
"(2, 1, 4)",6759.529175006369
"(2, 1, 5)",14722.52912570847
"(2, 1, 6)",94874.71665359879
"(2, 1, 7)",92888.17225084786
"(3, 0, 0)",34277.54377950694
"(3, 0, 1)",192639.18803067273
"(3, 0, 2)",171561.58803355187
"(3, 0, 3)",164085.38759906907
"(3, 0, 4)",163102.3004636788
"(3, 0, 5)",162386.7989404279
"(3, 0, 6)",160423.06183482803
"(3, 0, 7)",158793.75588420284
"(3, 1, 0)",19552.630404511394
"(3, 1, 1)",18438.204859669408
"(3, 1, 2)",6034.224926588601
"(3, 1, 3)",5885.332652552033
"(3, 1, 4)",4860.284245647022
"(3, 1, 5)",11098.359978892055
"(3, 1, 6)",93616.55560598061
"(3, 1, 7)",91874.50939040144
"(4, 0, 0)",8023.380427538197
"(4, 0, 1)",33319.214203095
"(4, 0, 2)",171807.18900474088
"(4, 0, 3)",164019.63307947197
"(4, 0, 4)",161659.66337054592
"(4, 0, 5)",162807.12045619535
"(4, 0, 6)",160573.86453493073
"(4, 0, 7)",158801.75475794202
"(4, 1, 0)",28365.386129410454
"(4, 1, 1)",56878.51851033574
"(4, 1, 2)",6858.719991036207
"(4, 1, 3)",4556.208170911255
"(4, 1, 4)",4963.387575015979
"(4, 1, 5)",10443.86220472361
"(4, 1, 6)",92120.72468727555
"(4, 1, 7)",90716.61471204407
"(5, 0, 1)",78361.37478978194
"(5, 0, 2)",172623.531252943
"(5, 0, 3)",163992.4208085707
"(5, 0, 4)",164592.43078997155
"(5, 0, 5)",162741.3244145987
"(5, 0, 6)",160710.03109256653
"(5, 0, 7)",158735.89635271076
"(5, 1, 0)",85254.19222076672
"(5, 1, 1)",26079.037323484437
"(5, 1, 2)",16453.036764557568
"(5, 1, 3)",11863.268846731105
"(5, 1, 4)",8789.685682949948
"(5, 1, 5)",10334.930479789524
"(5, 1, 6)",90516.69071613277
"(5, 1, 7)",89372.91748288837
"(6, 0, 0)",174617.31535057016
"(6, 0, 1)",174611.80638765427
"(6, 0, 2)",174622.4447918469
"(6, 0, 3)",167217.76644744776
"(6, 0, 4)",164887.67567797005
"(6, 0, 5)",162612.65080201457
"(6, 0, 6)",160719.76279842496
"(6, 0, 7)",158755.01424326733
"(6, 1, 0)",83028.38959432545
"(6, 1, 1)",83288.26129423137
"(6, 1, 2)",83896.82917159953
"(6, 1, 3)",84798.68588329642
"(6, 1, 4)",86019.47352352155
"(6, 1, 5)",87546.16129478459
"(6, 1, 6)",89083.70039531337
"(6, 1, 7)",88388.7104727392
"(7, 0, 0)",174617.58526376906
"(7, 0, 1)",171980.02650436937
"(7, 0, 2)",169500.14450126214
"(7, 0, 3)",166970.35559385532
"(7, 0, 4)",164920.8064050969
"(7, 0, 5)",162754.4218093975
"(7, 0, 6)",160663.90798380878
"(7, 0, 7)",158765.33029079338
"(7, 1, 0)",83028.41331257974
"(7, 1, 1)",83178.3682292111
"(7, 1, 2)",83573.05255260467
"(7, 1, 3)",84194.27352425971
"(7, 1, 4)",85529.71536691891
"(7, 1, 5)",87171.47505602222
"(7, 1, 6)",88859.55465175476
"(7, 1, 7)",88158.43199932422
