,RMSE
"(0, 0, 0)",23636.604766234967
"(0, 0, 1)",33773.915236952766
"(0, 0, 2)",19459.740373234967
"(0, 0, 3)",27354.843583825357
"(0, 0, 4)",21304.86186530441
"(0, 0, 5)",24200.729073082202
"(0, 0, 6)",24129.679740463223
"(0, 0, 7)",19488.588562584293
"(0, 1, 0)",20373.80551222695
"(0, 1, 1)",23133.88164296662
"(0, 1, 2)",23001.10374352032
"(0, 1, 3)",22530.575268789882
"(0, 1, 4)",23367.63536571547
"(0, 1, 5)",28494.96367860613
"(0, 1, 6)",29961.86065877505
"(0, 1, 7)",29114.52812634143
"(1, 0, 0)",22067.16125634019
"(1, 0, 1)",25633.135536939233
"(1, 0, 2)",19461.884734899224
"(1, 0, 3)",16388.511296558663
"(1, 0, 4)",21017.425412660607
"(1, 0, 5)",19749.1397685251
"(1, 0, 6)",23368.5426879164
"(1, 0, 7)",18579.29437356051
"(1, 1, 0)",22979.363751373076
"(1, 1, 1)",21101.88735246249
"(1, 1, 2)",21872.706872583534
"(1, 1, 3)",18724.732588313138
"(1, 1, 4)",22529.591401601097
"(1, 1, 5)",29911.43582060355
"(1, 1, 6)",30337.634921774497
"(1, 1, 7)",27490.014102937395
"(2, 0, 0)",27422.12685479366
"(2, 0, 1)",16349.334063695309
"(2, 0, 2)",27869.626973785176
"(2, 0, 3)",59449.55826368149
"(2, 0, 4)",19971.041928037583
"(2, 0, 5)",21496.421200171633
"(2, 0, 6)",20686.329598130087
"(2, 0, 7)",19641.060599182652
"(2, 1, 0)",22649.298501657424
"(2, 1, 1)",21721.948404103514
"(2, 1, 2)",22500.238631754833
"(2, 1, 3)",52936.448539730205
"(2, 1, 4)",10665.646015733226
"(2, 1, 5)",51104.7197363327
"(2, 1, 6)",29438.993937215135
"(2, 1, 7)",57844.16549156664
"(3, 0, 0)",26073.182218705217
"(3, 0, 1)",25934.80688168791
"(3, 0, 2)",23281.386367199128
"(3, 0, 3)",49420.823039626535
"(3, 0, 4)",21355.898145495645
"(3, 0, 5)",17729.160477150523
"(3, 0, 6)",16129.806460815613
"(3, 0, 7)",13753.914639339691
"(3, 1, 0)",22058.248415884205
"(3, 1, 1)",22314.607175192134
"(3, 1, 2)",12858.341669164432
"(3, 1, 3)",36486.2333981927
"(3, 1, 4)",12261.143981207191
"(3, 1, 5)",20759.342862662183
"(3, 1, 6)",60981.51287304872
"(3, 1, 7)",60608.156653492544
"(4, 0, 0)",25837.26916844276
"(4, 0, 1)",24194.35943578236
"(4, 0, 2)",15587.633814356428
"(4, 0, 3)",20443.14120276194
"(4, 0, 4)",15856.731846831965
"(4, 0, 5)",15354.464147637247
"(4, 0, 6)",8095.800096139377
"(4, 0, 7)",13973.76935266089
"(4, 1, 0)",24230.508175073628
"(4, 1, 1)",24055.608742180786
"(4, 1, 2)",20740.809568359888
"(4, 1, 3)",37828.76346735624
"(4, 1, 4)",13577.362384080097
"(4, 1, 5)",35390.9900445943
"(4, 1, 6)",53009.388211254205
"(4, 1, 7)",52814.830623535345
"(5, 0, 0)",32705.790094316148
"(5, 0, 1)",23441.602083737675
"(5, 0, 2)",17260.05045116875
"(5, 0, 3)",9641.12255983345
"(5, 0, 4)",16423.869048234534
"(5, 0, 5)",8895.837236893269
"(5, 0, 6)",17983.545753046994
"(5, 0, 7)",17809.211472431132
"(5, 1, 0)",23930.683865726427
"(5, 1, 1)",24266.565193516886
"(5, 1, 2)",54389.23515248693
"(5, 1, 3)",56391.71298652653
"(5, 1, 4)",12716.406281539348
"(5, 1, 5)",15724.735742987554
"(5, 1, 6)",17042.399649113708
"(5, 1, 7)",27831.661422985744
"(6, 0, 0)",18589.675379506374
"(6, 0, 1)",2762.2297884916884
"(6, 0, 2)",13833.425413207746
"(6, 0, 3)",21764.99035651576
"(6, 0, 4)",11846.861164078287
"(6, 0, 5)",8713.590446367265
"(6, 0, 6)",11112.998730262412
"(6, 0, 7)",10972.911388776107
"(6, 1, 0)",25243.934108478104
"(6, 1, 1)",27543.777431703827
"(6, 1, 2)",27411.30334775422
"(6, 1, 3)",59497.18945306979
"(6, 1, 4)",33908.286616335754
"(6, 1, 5)",14961.996230035531
"(6, 1, 6)",23467.673661621942
"(6, 1, 7)",26213.728377727435
"(7, 0, 0)",41410.99778655701
"(7, 0, 1)",41371.896272392885
"(7, 0, 2)",29199.418231824293
"(7, 0, 3)",25889.073404742634
"(7, 0, 4)",7826.958983208858
"(7, 0, 5)",9712.294698640562
"(7, 0, 6)",10684.154702802565
"(7, 0, 7)",10839.530531442053
"(7, 1, 0)",50624.62489465159
"(7, 1, 1)",40367.51091133319
"(7, 1, 2)",30686.313849293718
"(7, 1, 3)",52913.062872490234
"(7, 1, 4)",44310.78086235799
"(7, 1, 5)",24312.246715802452
"(7, 1, 6)",22475.984384410658
"(7, 1, 7)",27718.020732520978
